id,item_id,count
1,302001,1
2,302002,1
3,302003,1
4,302005,1
5,302000,1
6,302008,1
7,302009,1
8,302004,1
9,302006,1
10,302001,2
11,302002,2
12,302003,2
13,302005,2
14,302000,2
15,302008,2
16,302009,2
17,302004,2
18,302006,2
19,400000,400
20,400000,20
21,500000,1
22,306040,7
23,306023,2
24,306024,3
25,306025,3
26,306044,1
27,306001,1
28,306002,1
29,306000,1
31,304002,1
32,304001,1
33,304000,1
34,304003,1
36,400000,40
37,400000,80
101,303000,3
102,303001,4
103,303002,6
104,303003,8
105,303004,10
201,303100,3
202,303101,5
203,303102,7
204,303103,9
205,303104,11
301,303200,3
302,303201,6
303,303202,8
304,303203,10
305,303204,12
401,303300,3
402,303301,7
403,303302,9
404,303303,11
405,303304,13
501,303400,3
502,303401,8
503,303402,10
504,303403,12
505,303404,14
